ticker
FOGO  US EQUITY
GPS  US EQUITY
GGP  US EQUITY
HCA  US EQUITY
GCO  US EQUITY
GILD  US EQUITY
GRMN  US EQUITY
GD  US EQUITY
HD  US EQUITY
GT  US EQUITY
HDS  US EQUITY
GIS  US EQUITY
HOLX  US EQUITY
HOME  US EQUITY
GWW  US EQUITY
HIBB  US EQUITY
GM  US EQUITY
HON  US EQUITY
HII  US EQUITY
H  US EQUITY
GME  US EQUITY
HLT  US EQUITY
HRL  US EQUITY
HA  US EQUITY
HMC  US EQUITY
GNC  US EQUITY
HABT  US EQUITY
HOG  US EQUITY
GPC  US EQUITY
HSY  US EQUITY
HZO  US EQUITY
JACK  US EQUITY
HTSI  US EQUITY
KMT  US EQUITY
IARE  US EQUITY
HTZ  US EQUITY
JBLU  US EQUITY
KMX  US EQUITY
IFF  US EQUITY
HVT  US EQUITY
JCP  US EQUITY
KNL  US EQUITY
IMKTA  US EQUITY
LAD  US EQUITY
JOSB  US EQUITY
KO  US EQUITY
IP  US EQUITY
LB  US EQUITY
JWN  US EQUITY
KORS  US EQUITY
IR  US EQUITY
LEA  US EQUITY
K  US EQUITY
KR  US EQUITY
ISCA  US EQUITY
LL  US EQUITY
KIM  US EQUITY
KRG  US EQUITY
ISLE  US EQUITY
LLY  US EQUITY
KLAC  US EQUITY
KSS  US EQUITY
LPNT  US EQUITY
LMT  US EQUITY
LZB  US EQUITY
LQ  US EQUITY
MGM  US EQUITY
LOCO  US EQUITY
M  US EQUITY
LRCX  US EQUITY
LTD  US EQUITY
MHK  US EQUITY
LOW  US EQUITY
MIK  US EQUITY
MAC  US EQUITY
LULU  US EQUITY
MNRO  US EQUITY
MJN  US EQUITY
MAR  US EQUITY
LUV  US EQUITY
MO  US EQUITY
MKC  US EQUITY
MAS  US EQUITY
LVS  US EQUITY
MON  US EQUITY
MLHR  US EQUITY
MCD  US EQUITY
LYB  US EQUITY
MDLZ  US EQUITY
NDLS  US EQUITY
MSM  US EQUITY
MLM  US EQUITY
MFRM  US EQUITY
NEM  US EQUITY
OLLI  US EQUITY
MTD  US EQUITY
MNR  US EQUITY
ORLY  US EQUITY
NKE  US EQUITY
PFE  US EQUITY
MTN  US EQUITY
MUSA  US EQUITY
PAG  US EQUITY
NOC  US EQUITY
MW  US EQUITY
PG  US EQUITY
PBPB  US EQUITY
PLNT  US EQUITY
NYRT  US EQUITY
PNK  US EQUITY
PH  US EQUITY
PCAR  US EQUITY
OC  US EQUITY
PNRA  US EQUITY
PII  US EQUITY
PEI  US EQUITY
ODFL  US EQUITY
POOL  US EQUITY
PIR  US EQUITY
PENN  US EQUITY
ODP  US EQUITY
PLAY  US EQUITY
PPG  US EQUITY
PSX  US EQUITY
PEP  US EQUITY
PLCE  US EQUITY
PRGO  US EQUITY
PX  US EQUITY
REGN  US EQUITY
PRTY  US EQUITY
PLKI  US EQUITY
PZZA  US EQUITY
RGC  US EQUITY
RPAI  US EQUITY
PSA  US EQUITY
QSR  US EQUITY
RH  US EQUITY
RPT  US EQUITY
RAD  US EQUITY
SBH  US EQUITY
RHP  US EQUITY
RRGB  US EQUITY
RAI  US EQUITY
SBUX  US EQUITY
RL  US EQUITY
RTN  US EQUITY
RCII  US EQUITY
RLGY  US EQUITY
SCI  US EQUITY
SCSS  US EQUITY
RMAX  US EQUITY
REG  US EQUITY
RUSHA  US EQUITY
SCVL  US EQUITY
SHAK  US EQUITY
ROST  US EQUITY
RUTH  US EQUITY
SEAS  US EQUITY
SHLD  US EQUITY
SNA  US EQUITY
SFM  US EQUITY
SAH  US EQUITY
SFS  US EQUITY
SHW  US EQUITY
SONC  US EQUITY
SAVE  US EQUITY
SVU  US EQUITY
SIG  US EQUITY
TFM  US EQUITY
SPG  US EQUITY
SWY  US EQUITY
SIX  US EQUITY
TGT  US EQUITY
SPLS  US EQUITY
SKS  US EQUITY
SYK  US EQUITY
THC  US EQUITY
SPTN  US EQUITY
SKT  US EQUITY
TA  US EQUITY
SPWH  US EQUITY
THO  US EQUITY
TACO  US EQUITY
SMRT  US EQUITY
SSI  US EQUITY
TM  US EQUITY
TIF  US EQUITY
TCO  US EQUITY
STAY  US EQUITY
TCS  US EQUITY
TSCO  US EQUITY
TITN  US EQUITY
UBA  US EQUITY
TEL  US EQUITY
UE  US EQUITY
TSLA  US EQUITY
TJX  US EQUITY
UTX  US EQUITY
TTS  US EQUITY
UHAL  US EQUITY
TLRD  US EQUITY
VA  US EQUITY
TUES  US EQUITY
UHS  US EQUITY
WBA  US EQUITY
VAL  US EQUITY
ULTA  US EQUITY
TWX  US EQUITY
VER  US EQUITY
WCC  US EQUITY
UPS  US EQUITY
VSI  US EQUITY
WEN  US EQUITY
TXRH  US EQUITY
WAB  US EQUITY
URBN  US EQUITY
WAG  US EQUITY
WFM  US EQUITY
UAL  US EQUITY
WING  US EQUITY
WPG  US EQUITY
URI  US EQUITY
WAT  US EQUITY
WMK  US EQUITY
WRE  US EQUITY
X  US EQUITY
WMT  US EQUITY
WRI  US EQUITY
XOM  US EQUITY
WOOF  US EQUITY
WSM  US EQUITY
XYL  US EQUITY
WSR  US EQUITY
YUM  US EQUITY
ZOES  US EQUITY
WTW  US EQUITY
ZUMZ  US EQUITY
WYN  US EQUITY
SPY  US EQUITY
WYNN  US EQUITY
XRT  US EQUITY
